id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
182,1RXS J160929.1-210524 b,,,,
183,24 Bootis b,,,,
184,24 Sextantis b,,,,
185,24 Sextantis c,,,,
186,2M0437 b,,,,
187,2MASS J01033563-5515561 AB b,,,,
188,2MASS J01225093-2439505 b,,,,
189,2MASS J02192210-3925225 b,,,,
190,2MASS J04414489+2301513 b,,,,
191,2MASS J12073346-3932539 b,,,,
192,2MASS J19383260+4603591 b,,,,
193,2MASS J22362452+4751425 b,,,,
194,30 Arietis B b,,,,
195,42 Draconis b,,,,
196,47 Ursae Majoris b,,,,
197,47 Ursae Majoris c,,,,
198,47 Ursae Majoris d,,,,
199,4 Ursae Majoris b,,,,
200,11 Comae Berenices b,,,,
201,11 Ursae Minoris b,,,,
202,14 Andromedae b,,,,
203,14 Herculis b,,,,
204,16 Cygni B b,,,,
205,17 Scorpii b,,,,
206,18 Delphini b,,,,
207,1RXS J160929.1-210524 b,,,,
208,24 Bootis b,,,,
209,24 Sextantis b,,,,
210,24 Sextantis c,,,,
211,2M0437 b,,,,
212,2MASS J01033563-5515561 AB b,,,,
213,2MASS J01225093-2439505 b,,,,
214,2MASS J02192210-3925225 b,,,,
215,2MASS J04414489+2301513 b,,,,
216,2MASS J12073346-3932539 b,,,,
217,2MASS J19383260+4603591 b,,,,
218,2MASS J22362452+4751425 b,,,,
219,30 Arietis B b,,,,
220,42 Draconis b,,,,
221,47 Ursae Majoris b,,,,
222,47 Ursae Majoris c,,,,
223,47 Ursae Majoris d,,,,
224,4 Ursae Majoris b,,,,
225,11 Comae Berenices b,,,,
226,11 Ursae Minoris b,,,,
227,14 Andromedae b,,,,
228,14 Herculis b,,,,
229,16 Cygni B b,,,,
230,17 Scorpii b,,,,
231,18 Delphini b,,,,
232,1RXS J160929.1-210524 b,,,,
233,24 Bootis b,,,,
234,24 Sextantis b,,,,
235,24 Sextantis c,,,,
236,2M0437 b,,,,
237,2MASS J01033563-5515561 AB b,,,,
238,2MASS J01225093-2439505 b,,,,
239,2MASS J02192210-3925225 b,,,,
240,2MASS J04414489+2301513 b,,,,
241,2MASS J12073346-3932539 b,,,,
242,2MASS J19383260+4603591 b,,,,
243,2MASS J22362452+4751425 b,,,,
244,30 Arietis B b,,,,
245,42 Draconis b,,,,
246,47 Ursae Majoris b,,,,
247,47 Ursae Majoris c,,,,
248,47 Ursae Majoris d,,,,
249,4 Ursae Majoris b,,,,
250,11 Comae Berenices b,,,,
251,11 Ursae Minoris b,,,,
252,14 Andromedae b,,,,
253,14 Herculis b,,,,
254,16 Cygni B b,,,,
255,17 Scorpii b,,,,
256,18 Delphini b,,,,
257,1RXS J160929.1-210524 b,,,,
258,24 Bootis b,,,,
259,24 Sextantis b,,,,
260,24 Sextantis c,,,,
261,2M0437 b,,,,
262,2MASS J01033563-5515561 AB b,,,,
263,2MASS J01225093-2439505 b,,,,
264,2MASS J02192210-3925225 b,,,,
265,2MASS J04414489+2301513 b,,,,
266,2MASS J12073346-3932539 b,,,,
267,2MASS J19383260+4603591 b,,,,
268,2MASS J22362452+4751425 b,,,,
269,30 Arietis B b,,,,
270,42 Draconis b,,,,
271,47 Ursae Majoris b,,,,
272,47 Ursae Majoris c,,,,
273,47 Ursae Majoris d,,,,
274,4 Ursae Majoris b,,,,
275,11 Comae Berenices b,,,,
276,11 Ursae Minoris b,,,,
277,14 Andromedae b,,,,
278,14 Herculis b,,,,
279,16 Cygni B b,,,,
280,17 Scorpii b,,,,
281,18 Delphini b,,,,
282,1RXS J160929.1-210524 b,,,,
283,24 Bootis b,,,,
284,24 Sextantis b,,,,
285,24 Sextantis c,,,,
286,2M0437 b,,,,
287,2MASS J01033563-5515561 AB b,,,,
288,2MASS J01225093-2439505 b,,,,
289,2MASS J02192210-3925225 b,,,,
290,2MASS J04414489+2301513 b,,,,
291,2MASS J12073346-3932539 b,,,,
292,2MASS J19383260+4603591 b,,,,
293,2MASS J22362452+4751425 b,,,,
294,30 Arietis B b,,,,
295,42 Draconis b,,,,
296,47 Ursae Majoris b,,,,
297,47 Ursae Majoris c,,,,
298,47 Ursae Majoris d,,,,
299,4 Ursae Majoris b,,,,
300,11 Comae Berenices b,,,,
301,11 Ursae Minoris b,,,,
302,14 Andromedae b,,,,
303,14 Herculis b,,,,
304,16 Cygni B b,,,,
305,17 Scorpii b,,,,
306,18 Delphini b,,,,
307,1RXS J160929.1-210524 b,,,,
308,24 Bootis b,,,,
309,24 Sextantis b,,,,
310,24 Sextantis c,,,,
311,2M0437 b,,,,
312,2MASS J01033563-5515561 AB b,,,,
313,2MASS J01225093-2439505 b,,,,
314,2MASS J02192210-3925225 b,,,,
315,2MASS J04414489+2301513 b,,,,
316,2MASS J12073346-3932539 b,,,,
317,2MASS J19383260+4603591 b,,,,
318,2MASS J22362452+4751425 b,,,,
319,30 Arietis B b,,,,
320,42 Draconis b,,,,
321,47 Ursae Majoris b,,,,
322,47 Ursae Majoris c,,,,
323,47 Ursae Majoris d,,,,
324,4 Ursae Majoris b,,,,
325,11 Comae Berenices b,,,,
326,11 Ursae Minoris b,,,,
327,14 Andromedae b,,,,
328,14 Herculis b,,,,
329,16 Cygni B b,,,,
330,17 Scorpii b,,,,
331,18 Delphini b,,,,
332,1RXS J160929.1-210524 b,,,,
333,24 Bootis b,,,,
334,24 Sextantis b,,,,
335,24 Sextantis c,,,,
336,2M0437 b,,,,
337,2MASS J01033563-5515561 AB b,,,,
338,2MASS J01225093-2439505 b,,,,
339,2MASS J02192210-3925225 b,,,,
340,2MASS J04414489+2301513 b,,,,
341,2MASS J12073346-3932539 b,,,,
342,2MASS J19383260+4603591 b,,,,
343,2MASS J22362452+4751425 b,,,,
344,30 Arietis B b,,,,
345,42 Draconis b,,,,
346,47 Ursae Majoris b,,,,
347,47 Ursae Majoris c,,,,
348,47 Ursae Majoris d,,,,
349,4 Ursae Majoris b,,,,
